observation_date,Sales_Per_ Day
1992-01-01,7692.62575
1992-02-01,8228.659866
1992-03-01,8315.270113
1992-04-01,8862.361541
1992-05-01,8869.410146
1992-06-01,9098.159556
1992-07-01,8828.512804
1992-08-01,8797.103152
1992-09-01,8807.903975
1992-10-01,8942.549689
1992-11-01,9158.820879
1992-12-01,10961.96596
1993-01-01,7811.125666
1993-02-01,8456.93091
1993-03-01,8662.777013
1993-04-01,9252.761965
1993-05-01,9218.327841
1993-06-01,9480.125989
1993-07-01,9265.853708
1993-08-01,9206.516649
1993-09-01,9222.157544
1993-10-01,9149.814677
1993-11-01,9793.319588
1993-12-01,11495.43897
1994-01-01,8077.84821
1994-02-01,8977.637061
1994-03-01,9585.086205
1994-04-01,9733.461052
1994-05-01,9673.888936
1994-06-01,10131.83312
1994-07-01,9487.639159
1994-08-01,9953.936928
1994-09-01,9846.788659
1994-10-01,9713.85389
1994-11-01,10340.15801
1994-12-01,12030.87407
1995-01-01,8545.909477
1995-02-01,9254.057308
1995-03-01,9767.420518
1995-04-01,9768.066669
1995-05-01,10162.54708
1995-06-01,10554.45195
1995-07-01,9750.220085
1995-08-01,10280.89205
1995-09-01,10007.91713
1995-10-01,9746.396973
1995-11-01,10577.08777
1995-12-01,12050.95499
1996-01-01,8812.207135
1996-02-01,9758.058736
1996-03-01,10016.69942
1996-04-01,10312.7369
1996-05-01,10683.07971
1996-06-01,10552.08786
1996-07-01,10207.61513
1996-08-01,10556.624
1996-09-01,10083.64693
1996-10-01,10369.61579
1996-11-01,10784.72336
1996-12-01,12172.20861
1997-01-01,9251.937803
1997-02-01,10061.96889
1997-03-01,10352.06099
1997-04-01,10446.18879
1997-05-01,10739.92083
1997-06-01,10768.34372
1997-07-01,10578.42732
1997-08-01,10715.20938
1997-09-01,10495.82061
1997-10-01,10571.26335
1997-11-01,10794.54307
1997-12-01,12568.75074
1998-01-01,9429.348585
1998-02-01,10215.82692
1998-03-01,10423.30135
1998-04-01,10972.57386
1998-05-01,11043.11384
1998-06-01,11382.37407
1998-07-01,10843.30134
1998-08-01,10776.19924
1998-09-01,10726.94244
1998-10-01,10929.79367
1998-11-01,11215.7524
1998-12-01,13174.30568
1999-01-01,9737.753688
1999-02-01,10912.47258
1999-03-01,11342.97974
1999-04-01,11478.70651
